web-scraper-order,web-scraper-start-url,article_link,article_link-href,détailes,Numbers_bed,numbers_SB,Superficies,adresse,Prix,image_link
"1732652416-125","https://www.expat-dakar.com/appartements-a-louer?page=111","Appartement de 3 chambres - HAUT STANDING - FANN CORNICHE
                                3 chambre200 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        2. sept., 10:20
                                    
                    3 000 000 F Cfa
                        
                        786391616","https://www.expat-dakar.com/annonce/appartement-de-3-chambres-haut-standing-fann-corniche-5300506","Appartement de 3 chambres - HAUT STANDING - FANN CORNICHE","3","3","200 m²","Fann
            
                Dakar","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/856fdf7adf7210d8f811cf85b6e92d60/-/horizon-files-prod/ed/picture/qwem97jz/02704bca347131e3f1d748b5c081e24031e5f293.jpg"
"1732652427-126","https://www.expat-dakar.com/appartements-a-louer?page=110","Studio à louer à sacré coeur2
                                1 chambre50 m²
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        8. nov., 15:05
                                    
                    150 000 F Cfa
                        
                        767336867
                    
                        338227806","https://www.expat-dakar.com/annonce/studio-a-louer-a-sacre-coeur2-6128738","Studio à louer à sacré coeur2","1","2","50 m²","Mermoz
            
                Dakar","150 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e62a5b5057756eb14cc7b2c295a9875d/-/horizon-files-prod/ed/picture/qpdm6q9p/5c408dcd9c67a3469275d138c87ce6282cdde4d7.jpg"
"1732652433-127","https://www.expat-dakar.com/appartements-a-louer?page=110","Appartement neuf à louer fann résidence
                                3 chambre250 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        25. oct., 06:46
                                    
                    2 300 000 F Cfa
                        
                        775597743","https://www.expat-dakar.com/annonce/appartement-neuf-a-louer-fann-residence-6075425","Appartement neuf à louer fann résidence","3","5","250 m²","Fann
            
                Dakar","2 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/afd0cf14d18736e8a4ff4f6706cfb384/-/horizon-files-prod/ed/picture/q0gwq0z6/c273a90d682cf5bdb94e1ac116c66f489611c2e8.jpg"
"1732652439-128","https://www.expat-dakar.com/appartements-a-louer?page=110","Appartement à louer en ville - Port View
                                3 chambre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        11. oct., 15:38
                                    
                    1 500 000 F Cfa
                        
                        776389812
                    
                        776389811
                    
                        776389813","https://www.expat-dakar.com/annonce/appartement-a-louer-en-ville-port-view-6131185","Appartement à louer en ville - Port View","3","3","","Plateau
            
                Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c7d6c3253ac4d43f1bf6b05aae4cdbb/-/horizon-files-prod/ed/picture/q56dx0kp/c0ca1bc8512880dd84693c0a602f8e1657ce7fe6.jpg"
"1732652444-129","https://www.expat-dakar.com/appartements-a-louer?page=110","MAGNIFIQUES APPARTEMENTS F4 À FANN RÉSIDENCE
                                3 chambre275 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        29. oct., 15:28
                                    
                    2 350 000 F Cfa
                        
                        778298993","https://www.expat-dakar.com/annonce/magnifiques-appartements-f4-a-fann-residence-6132746","MAGNIFIQUES APPARTEMENTS F4 À FANN RÉSIDENCE","3","","275 m²","Fann
            
                Dakar","2 350 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c2fe5f164e91f316ef7bd4e29259b3e4/-/horizon-files-prod/ed/picture/qv4we2nw/2f1c2af09d269bea9cd4682126922abaa7a876cd.jpg"
"1732652449-130","https://www.expat-dakar.com/appartements-a-louer?page=110","A LOUER 3 CH SALON A SACRE COEUR
                                3 chambre
                                                                                    Sacré-cœur,
                                                                                Dakar
                                    
                                        mercredi, 16:45
                                    
                    375 000 F Cfa
                        
                        766914231","https://www.expat-dakar.com/annonce/a-louer-3-ch-salon-a-sacre-coeur-6133408","A LOUER 3 CH SALON A SACRE COEUR","3","","","Sacré-cœur
            
                Dakar","375 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/11db6669b8d3b5ce3393252f84e6d55e/-/horizon-files-prod/ed/picture/q8v440kp/e508e02e618f1780982951a617f4f2c445d8962b.jpg"
"1732652455-131","https://www.expat-dakar.com/appartements-a-louer?page=110","Ref_2455_GL_ Dakar/Sacré-Cœur : Grand  Appartement à louer
                                3 chambre
                                                                                    Sacré-cœur,
                                                                                Dakar
                                    
                                        6. nov., 11:59
                                    
                    600 000 F Cfa
                        
                        781385959
                    
                        776313024","https://www.expat-dakar.com/annonce/ref-2455-gl-dakarsacre-coeur-grand-appartement-a-louer-6133577","Ref_2455_GL_ Dakar/Sacré-Cœur : Grand  Appartement à louer","3","3","","Sacré-cœur
            
                Dakar","600 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9b898ab252fb412435f871e9ae6b27be/-/horizon-files-prod/ed/picture/qxjppd94/6b7c28c93afa2c62870b7619b7fbe5a209e662a5.jpg"
"1732652460-132","https://www.expat-dakar.com/appartements-a-louer?page=110","APPARTEMENT NEUF  STANDING À LOUER 'GOR ALMADIES
                                3 chambre160 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        jeudi, 13:20
                                    
                    750 000 F Cfa
                        
                        776576626
                    
                        772317210
                    
                        779242728","https://www.expat-dakar.com/annonce/appartement-neuf-standing-a-louer-gor-almadies-6127113","APPARTEMENT NEUF  STANDING À LOUER 'GOR ALMADIES","3","4","160 m²","Almadies
            
                Dakar","750 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/250a184924e05c99097ec7fec581f16f/-/horizon-files-prod/ed/picture/qgqw9849/98591b2dd5be2b5562446fea58332bf81ad55ccb.jpg"
"1732652465-133","https://www.expat-dakar.com/appartements-a-louer?page=110","Appartement à louer à Dieuppeul
                                3 chambre100 m²
                                                                                    Dieuppeul,
                                                                                Dakar
                                    
                                        31. août, 14:22
                                    
                    230 000 F Cfa
                        
                        776953266","https://www.expat-dakar.com/annonce/appartement-a-louer-a-dieuppeul-6137175","Appartement à louer à Dieuppeul","3","","100 m²","Dieuppeul
            
                Dakar","230 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/90195ee3e852c85367ad187e8c386a0f/-/horizon-files-prod/ed/picture/q44nn6dm/14694636ad2ccd20495e607c47cd27784011f85b.jpg"
"1732652471-134","https://www.expat-dakar.com/appartements-a-louer?page=110","Penthouse vue sur mer avec terrasse privée à Fann Mermoz
                                4 chambre350 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        4. oct., 19:11
                                    
                    3 500 000 F Cfa
                        
                        773426785","https://www.expat-dakar.com/annonce/penthouse-vue-sur-mer-avec-terrasse-privee-a-fann-mermoz-4094610","Penthouse vue sur mer avec terrasse privée à Fann Mermoz","4","5","350 m²","Fann
            
                Dakar","3 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1e3194651f39d843c55fc0214e19251e/-/horizon-files-prod/ed/picture/qre50gm/7eaa3d21b91281ac7787e59d8c8eb14f803cca29.jpg"
"1732652476-135","https://www.expat-dakar.com/appartements-a-louer?page=110","Appartement à louer à la Sicap Liberte 1
                                3 chambre
                                                                                    Liberte 1,
                                                                                Dakar
                                    
                                        5. nov., 16:32
                                    
                    1 100 000 F Cfa
                        
                        772847878","https://www.expat-dakar.com/annonce/appartement-a-louer-a-la-sicap-liberte-1-6137326","Appartement à louer à la Sicap Liberte 1","3","4","","Liberte 1
            
                Dakar","1 100 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/228c0535d3a3aeb484dd504a0750b774/-/horizon-files-prod/ed/picture/q9mjjngn/cf30fbbc6268c0b955cc24be6e4f06afb3a398e6.jpg"
"1732652488-136","https://www.expat-dakar.com/appartements-a-louer?page=109","Magnifique T4 vue mer au Virage
                                3 chambre200 m²
                                                                                    Virage,
                                                                                Dakar
                                    
                                        20. oct., 18:47
                                    
                    1 250 000 F Cfa
                        
                        773012250
                    
                        763803286","https://www.expat-dakar.com/annonce/magnifique-t4-vue-mer-au-virage-6137905","Magnifique T4 vue mer au Virage","3","","200 m²","Virage
            
                Dakar","1 250 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c4e4aa41fc9b41b2e00253eca9116af0/-/horizon-files-prod/ed/picture/qngppwkv/3c1ab5220de88107cebab9d27164127e29ed5a4a.jpg"
"1732652494-137","https://www.expat-dakar.com/appartements-a-louer?page=109","Appartement à ouest foire
                                2 chambre
                                                                                    Ouest foire,
                                                                                Dakar
                                    
                                        18. oct., 13:09
                                    
                    250 000 F Cfa
                        
                        775393180","https://www.expat-dakar.com/annonce/appartement-a-ouest-foire-6121604","Appartement à ouest foire","2","2","","Ouest foire
            
                Dakar","250 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/73dff1febc09e888481f8d1d8ecb7e70/-/horizon-files-prod/ed/picture/q9mj8epv/ec99107f7df6cda90bec4e2d655009216667c051.jpg"
"1732652499-138","https://www.expat-dakar.com/appartements-a-louer?page=109","Penthouse à louer Almadi
                                3 chambre230 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        11. sept., 17:34
                                    
                    1 700 000 F Cfa
                        
                        771120873
                    
                        771120873","https://www.expat-dakar.com/annonce/penthouse-a-louer-almadi-6138873","Penthouse à louer Almadi","3","3","230 m²","Almadies
            
                Dakar","1 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/25194f566e4f22b82e12f8b99b046139/-/horizon-files-prod/ed/picture/qq422vkn/99b1490faaa16f9b2219521754f171cce7878574.jpg"
"1732652505-139","https://www.expat-dakar.com/appartements-a-louer?page=109","F3 neuf 100m2 habitation ou bureau
                                2 chambre100 m²
                                                                                    Liberte 6 extension,
                                                                                Dakar
                                    
                                        vendredi, 09:51
                                    
                    650 000 F Cfa
                        
                        773012250
                    
                        763803286","https://www.expat-dakar.com/annonce/f3-neuf-100m2-habitation-ou-bureau-6139035","F3 neuf 100m2 habitation ou bureau","2","3","100 m²","Liberte 6 extension
            
                Dakar","650 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b1aa9ffacc50635e7a8b1b326f1a8756/-eyJvciI6OTB9/horizon-files-prod/ed/picture/qgqww02q/1d41a5bf3a87914f1489491a1548aa1f38d8e9d3.jpg"
"1732652510-140","https://www.expat-dakar.com/appartements-a-louer?page=109","Appartement f4 a fann vue mer
                                3 chambre290 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        10. sept., 10:21
                                    
                    3 250 000 F Cfa
                        
                        771120873
                    
                        771120873","https://www.expat-dakar.com/annonce/appartement-f4-a-fann-vue-mer-6139408","Appartement f4 a fann vue mer","3","4","290 m²","Fann
            
                Dakar","3 250 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d249fc7be830850760e4bfc7a797abfd/-/horizon-files-prod/ed/picture/q8v44x70/6655acfed5fb544194cd85ba9a430338c85b8375.jpg"
"1732652516-141","https://www.expat-dakar.com/appartements-a-louer?page=109","Studio au 4eme étage avec terrasse privée aux Mamelles
                                1 chambre
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        7. nov., 15:52
                                    
                    300 000 F Cfa
                        
                        778727979
                    
                        766377247
                    
                        772699661","https://www.expat-dakar.com/annonce/studio-au-4eme-etage-avec-terrasse-privee-aux-mamelles-6024064","Studio au 4eme étage avec terrasse privée aux Mamelles","1","1","","Mamelles
            
                Dakar","300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1b898e8ee834381e85102c2a57a1a0fc/-/horizon-files-prod/ed/picture/qenq8kw5/e8b5bd6461aedb4d0b01fa84609841f83d555549.jpg"
"1732652522-142","https://www.expat-dakar.com/appartements-a-louer?page=109","Appartement à louer
                                4 chambre180 m²
                                                                                    Diamniadio,
                                                                                Dakar
                                    
                                        29. août, 09:02
                                    
                    200 000 F Cfa
                        
                        766167196","https://www.expat-dakar.com/annonce/appartement-a-louer-6142451","Appartement à louer","4","4","180 m²","Diamniadio
            
                Dakar","200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f6ed2d26c706b695aed76499c2e708b1/-/horizon-files-prod/ed/picture/qq422jqw/ef77ce6c624590cbbf5aaaac8cf884c097a38482.jpg"
"1732652528-143","https://www.expat-dakar.com/appartements-a-louer?page=109","Spacieux appartement de standing à louer au Point E
                                4 chambre
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        16. oct., 09:49
                                    
                    1 300 000 F Cfa
                        
                        774823430
                    
                        776548731
                    
                        774836846","https://www.expat-dakar.com/annonce/spacieux-appartement-de-standing-a-louer-au-point-e-6143947","Spacieux appartement de standing à louer au Point E","4","3","","Point-e
            
                Dakar","1 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/27a42fa1390f8397d3fa334be2ec03d2/-/horizon-files-prod/ed/picture/q0g7kp28/e98f044eb0a2807bfa426122d6561903a6b26261.jpg"
"1732652533-144","https://www.expat-dakar.com/appartements-a-louer?page=109","Appartement à louer aux Almadies
                                3 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        29. août, 10:00
                                    
                                            Vendeur vérifié
                                        
                    1 800 000 F Cfa
                        
                        774063403","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-almadies-6113761","Appartement à louer aux Almadies","3","","","Almadies
            
                Dakar","1 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4d750cdb645875ad0e25b70a19fc003f/-/horizon-files-prod/ed/picture/q2j0rqxk/cd91a098ba40ef02ece2e5c34835308447640d40.jpg"
"1732652538-145","https://www.expat-dakar.com/appartements-a-louer?page=109","F5 moderne à fann résidence
                                4 chambre
                                                                                    Fann,
                                                                                Dakar
                                    
                                        29. août, 10:04
                                    
                                            Vendeur vérifié
                                        
                    3 000 000 F Cfa
                        
                        774063403","https://www.expat-dakar.com/annonce/f5-moderne-a-fann-residence-6082627","F5 moderne à fann résidence","4","","","Fann
            
                Dakar","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bc1a7e0e0fdfc46377448e1c5379c15d/-/horizon-files-prod/ed/picture/qngxr9wg/2c4d9fa42dd42b1d405f11c125939fe9a24a0cfe.jpg"
"1732652549-146","https://www.expat-dakar.com/appartements-a-louer?page=108","APPARTEMENT À LOUER POINT E
                                4 chambre300 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        29. août, 16:25
                                    
                    3 000 000 F Cfa
                        
                        779148819
                    
                        779148819","https://www.expat-dakar.com/annonce/appartement-a-louer-point-e-6145801","APPARTEMENT À LOUER POINT E","4","5","300 m²","Point-e
            
                Dakar","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9559e5687f1324e17e2e9ba0d3d621a5/-/horizon-files-prod/ed/picture/q78wj5kd/cd41d8c94cad7ea39efa17111516f596522ff6e3.jpg"
"1732652555-147","https://www.expat-dakar.com/appartements-a-louer?page=108","F3 A LOUER
                                2 chambre80 m²
                                                                                    Yoff,
                                                                                Dakar
                                    
                                        29. août, 16:51
                                    
                    225 000 F Cfa
                        
                        775599232
                    
                        783910606","https://www.expat-dakar.com/annonce/f3-a-louer-6145851","F3 A LOUER","2","2","80 m²","Yoff
            
                Dakar","225 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d3e4a5ab23066b86472d4c05713f3193/-/horizon-files-prod/ed/picture/qq42z2qj/408ad2af22dc25c0b0c9d59a0cc81a8988084a55.jpg"
"1732652560-148","https://www.expat-dakar.com/appartements-a-louer?page=108","Appartement à louer corniche fan résidence
                                3 chambre280 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        30. août, 08:44
                                    
                    3 250 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-a-louer-corniche-fan-residence-6145820","Appartement à louer corniche fan résidence","3","4","280 m²","Fann
            
                Dakar","3 250 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/52a80d21d302997e6eaf2738640fe47f/-/horizon-files-prod/ed/picture/qenvrqg2/17012a6e90d267eea8ec482cddd5c1a259f95bd7.jpg"
"1732652566-149","https://www.expat-dakar.com/appartements-a-louer?page=108","Appartement type C5 Vue sur mer
                                3 chambre200 m²
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        29. août, 17:02
                                    
                    2 300 000 F Cfa
                        
                        779148819
                    
                        779148819","https://www.expat-dakar.com/annonce/appartement-type-c5-vue-sur-mer-6145853","Appartement type C5 Vue sur mer","3","4","200 m²","Ouakam
            
                Dakar","2 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d93d5ccc3dfd60bcdfb550f32eb0cbb5/-/horizon-files-prod/ed/picture/q44n5nje/cf3e8ae9911bbb9c3bbce65f0cc9a410b44ced63.jpg"
"1732652572-150","https://www.expat-dakar.com/appartements-a-louer?page=108","Appartement f3 aux almadies
                                2 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        29. août, 17:48
                                    
                    400 000 F Cfa
                        
                        778751779","https://www.expat-dakar.com/annonce/appartement-f3-aux-almadies-6145895","Appartement f3 aux almadies","2","2","","Almadies
            
                Dakar","400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/746f62c19b03b0d56c33c72783edfed2/-/horizon-files-prod/ed/picture/qq42z2dj/46c78169e61ef70c201fb2a78afb09f3152b1eed.jpg"
"1732652577-151","https://www.expat-dakar.com/appartements-a-louer?page=108","F3 A LOUER
                                2 chambre100 m²
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        29. août, 18:23
                                    
                    200 000 F Cfa
                        
                        775599232
                    
                        783910606","https://www.expat-dakar.com/annonce/f3-a-louer-6145912","F3 A LOUER","2","2","100 m²","Parcelles Assainies
            
                Dakar","200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3f3f2322375b3a6c4982cf044569cc37/-/horizon-files-prod/ed/picture/qm5g0gpq/f905547cb1edce030feac37846685e6e0ca6395d.jpg"
"1732652583-152","https://www.expat-dakar.com/appartements-a-louer?page=108","Bel appartement F3 à louer aux Almadies
                                2 chambre115 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        29. août, 18:23
                                    
                    850 000 F Cfa
                        
                        774762606","https://www.expat-dakar.com/annonce/bel-appartement-f3-a-louer-aux-almadies-6145920","Bel appartement F3 à louer aux Almadies","2","3","115 m²","Almadies
            
                Dakar","850 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b0290ef0b1c82a20fbc920af99488ee8/-/horizon-files-prod/ed/picture/qenvrvvd/3d6a8cee091d4098774cd7685d0e9132031d6a4a.jpg"
"1732652588-153","https://www.expat-dakar.com/appartements-a-louer?page=108","F3 A LOUER
                                2 chambre110 m²
                                                                                    Zac Mbao,
                                                                                Dakar
                                    
                                        29. août, 19:23
                                    
                    160 000 F Cfa
                        
                        775599232
                    
                        783910606","https://www.expat-dakar.com/annonce/f3-a-louer-6145950","F3 A LOUER","2","2","110 m²","Zac Mbao
            
                Dakar","160 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4bb6c93f8eb2a2fd1283a2b584f89ed7/-/horizon-files-prod/ed/picture/qweprprk/5287350310999cd3091439bc6a08a017a2de0f02.jpg"
"1732652594-154","https://www.expat-dakar.com/appartements-a-louer?page=108","Appartement à louer aux Almadies
                                2 chambre135 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        29. août, 21:13
                                    
                    500 000 F Cfa
                        
                        767593850","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-almadies-6062181","Appartement à louer aux Almadies","2","","135 m²","Almadies
            
                Dakar","500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5a4b4eefa7805eb47319e37614780ad6/-/horizon-files-prod/ed/picture/qj4r85rg/0f553c2dde3b08fceee964717a29282ccec995a8.jpg"
"1732652599-155","https://www.expat-dakar.com/appartements-a-louer?page=108","Villa à la citée aliou sow
                                3 chambre150 m²
                                                                                    Golf,
                                                                                Dakar
                                    
                                        29. août, 22:08
                                    
                    400 000 F Cfa
                        
                        771048216
                    
                        766612910
                    
                        771048216","https://www.expat-dakar.com/annonce/villa-a-la-citee-aliou-sow-6146016","Villa à la citée aliou sow","3","2","150 m²","Golf
            
                Dakar","400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/06cadde92256212f0edde4d1edbf1d39/-/horizon-files-prod/ed/picture/qpdmgmjj/5cc7786710f5788d95db95b238ac4ae7dd5f696c.jpg"
"1732652611-156","https://www.expat-dakar.com/appartements-a-louer?page=107","Penthouse quatre chambres à louer par mois
                                4 chambre600 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        30. août, 09:37
                                    
                    4 000 000 F Cfa
                        
                        772506673
                    
                        767277483
                    
                        772506673","https://www.expat-dakar.com/annonce/penthouse-quatre-chambres-a-louer-par-mois-6145607","Penthouse quatre chambres à louer par mois","4","5","600 m²","Fann
            
                Dakar","4 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9c8138868a023d0d8e6f1f79755fb563/-/horizon-files-prod/ed/picture/qq42z7ve/9c63a84c6dcdf0ee2093cbd022d4b76fb2bfca9b.jpg"
"1732652616-157","https://www.expat-dakar.com/appartements-a-louer?page=107","Recherche appartement vide à louer
                                
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        30. août, 10:36
                                    
                    6 000 000 F Cfa
                        
                        777758713
                    
                        777758713","https://www.expat-dakar.com/annonce/recherche-appartement-vide-a-louer-6120647","Recherche appartement vide à louer","","","","Almadies
            
                Dakar","6 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a14a3a2129511f8cfbc14ffb8f59441c/-/horizon-files-prod/ed/picture/q0g72jmk/0286c7e386531851a1f03c24ccba59a28e5fc03e.jpg"
"1732652622-158","https://www.expat-dakar.com/appartements-a-louer?page=107","Très bel appartement à louer a la cité keur gorgui
                                3 chambre
                                                                                    Cité keur gorgui,
                                                                                Dakar
                                    
                                        30. août, 10:52
                                    
                    850 000 F Cfa
                        
                        785898010","https://www.expat-dakar.com/annonce/tres-bel-appartement-a-louer-a-la-cite-keur-gorgui-6084458","Très bel appartement à louer a la cité keur gorgui","3","3","","Cité keur gorgui
            
                Dakar","850 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c596ac20b770e4b0ae8dac33dd718678/-/horizon-files-prod/ed/picture/qkrg908p/6cdd3611ca9559c3c412fb893c3061d8a21c8b00.jpg"
"1732652627-159","https://www.expat-dakar.com/appartements-a-louer?page=107","Tres bel appartement f3 aux Mamelles
                                2 chambre
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        30. août, 10:52
                                    
                    400 000 F Cfa
                        
                        785898010","https://www.expat-dakar.com/annonce/tres-bel-appartement-f3-aux-mamelles-6105111","Tres bel appartement f3 aux Mamelles","2","3","","Mamelles
            
                Dakar","400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/34a89bde25db1db4966e8eaaf8a890ab/-/horizon-files-prod/ed/picture/qxjpjw0j/0b5b57d8e6af3fe3157d9f919b3211b8847b4f2a.jpg"
"1732652633-160","https://www.expat-dakar.com/appartements-a-louer?page=107","Spacieux appartement a keur gorgui
                                3 chambre150 m²
                                                                                    Cité keur gorgui,
                                                                                Dakar
                                    
                                        30. août, 11:59
                                    
                    500 000 F Cfa
                        
                        771048216
                    
                        766612910
                    
                        771048216","https://www.expat-dakar.com/annonce/spacieux-appartement-a-keur-gorgui-5892493","Spacieux appartement a keur gorgui","3","2","150 m²","Cité keur gorgui
            
                Dakar","500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/29bbe877e75ca1fd6d6fdc64054b78fb/-/horizon-files-prod/ed/picture/qngxxjnk/16f3e8d8ca8f474846d56946861757e1a2896cb8.jpg"
"1732652639-161","https://www.expat-dakar.com/appartements-a-louer?page=107","Très bel appartement à louer à la corniche des mamelles
                                2 chambre
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        30. août, 12:12
                                    
                    475 000 F Cfa
                        
                        772847878","https://www.expat-dakar.com/annonce/tres-bel-appartement-a-louer-a-la-corniche-des-mamelles-6146482","Très bel appartement à louer à la corniche des mamelles","2","3","","Mamelles
            
                Dakar","475 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/01ce434065014cd02e6e5e3342805096/-/horizon-files-prod/ed/picture/qpdmggnq/c4b85f2f5612e7db1f4ffd3e4d459ae314b4b246.jpg"
"1732652646-162","https://www.expat-dakar.com/appartements-a-louer?page=107","Deux chambres à louer par mois
                                2 chambre
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        30. août, 12:39
                                    
                    475 000 F Cfa
                        
                        772506673
                    
                        767277483
                    
                        772506673","https://www.expat-dakar.com/annonce/deux-chambres-a-louer-par-mois-6146501","Deux chambres à louer par mois","2","3","","Mamelles
            
                Dakar","475 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/252c27cf5f4e039780ab97fd592297c0/-/horizon-files-prod/ed/picture/q78wjj0g/4cfcd382392b625a1b34ec1c4bfc92bdf1431d34.jpg"
"1732652652-163","https://www.expat-dakar.com/appartements-a-louer?page=107","Appartement F3 à louer à Mermoz
                                2 chambre
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        30. août, 12:53
                                    
                    550 000 F Cfa
                        
                        776454715
                    
                        776454715
                    
                        778145360","https://www.expat-dakar.com/annonce/appartement-f3-a-louer-a-mermoz-6146504","Appartement F3 à louer à Mermoz","2","2","","Mermoz
            
                Dakar","550 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7f7f90bd24cd692eeb1b7688142624b5/-/horizon-files-prod/ed/picture/q9mjkkn6/ec0cb44a7d7e5f635153cd7d884580e7421202ed.jpg"
"1732652657-164","https://www.expat-dakar.com/appartements-a-louer?page=107","Appartement vide à louer au Virage
                                3 chambre
                                                                                    Virage,
                                                                                Dakar
                                    
                                        30. août, 13:06
                                    
                    1 000 000 F Cfa
                        
                        772847878","https://www.expat-dakar.com/annonce/appartement-vide-a-louer-au-virage-6146550","Appartement vide à louer au Virage","3","4","","Virage
            
                Dakar","1 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/33180fe4ad277727b4da71eef095abdf/-/horizon-files-prod/ed/picture/qweprrj0/e3dd4b87dfd925af53d5acdf696b3e5a7d8053a2.jpg"
"1732652662-165","https://www.expat-dakar.com/appartements-a-louer?page=107","APPARTEMENT A LOUER CORNICHE DES  ALMADIES
                                2 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        30. août, 15:29
                                    
                    2 000 000 F Cfa
                        
                        772953810
                    
                        761728777","https://www.expat-dakar.com/annonce/appartement-a-louer-corniche-des-almadies-6106527","APPARTEMENT A LOUER CORNICHE DES  ALMADIES","2","2","","Almadies
            
                Dakar","2 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8d749a088519877a8e63f2631e183083/-/horizon-files-prod/ed/picture/qngpg2ew/64e72fabed452776a2e04114a406a2f87aba9f84.jpg"
